exchange,symbol,open,close,high,low,amount,volume,position,bob,eob,type
DCE,i2603,653.0,658.5,661.5,650.0,46663450.0,710,4780,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,i2604,647.5,655.0,656.5,646.5,46988150.0,720,2411,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,i2605,641.5,648.0,650.0,639.5,276387200.0,4282,13499,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,j2506,1310.0,1350.0,1350.0,1310.0,659000.0,5,20,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,j2507,1300.5,1353.5,1363.0,1300.5,18152250.0,137,99,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,j2508,1306.5,1359.0,1365.0,1304.0,20067650.0,152,36,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,j2509,1297.0,1367.5,1375.0,1297.0,6206646200.0,46507,54617,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,j2601,1326.0,1376.0,1383.0,1324.5,293564600.0,2170,3254,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,j2602,1352.0,1352.0,1352.0,1352.0,408850.0,3,12,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,j2603,1348.5,1348.5,1348.5,1348.5,269300.0,2,5,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,j2605,1357.0,1382.5,1385.0,1347.5,9720650.0,71,139,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,jd2506,2643.0,2687.0,2687.0,2642.0,371210.0,14,146,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,jd2507,2890.0,2877.0,2906.0,2857.0,4476446500.0,155405,119566,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,jd2508,3573.0,3578.0,3595.0,3546.0,3227991600.0,90424,178752,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,jd2509,3720.0,3730.0,3734.0,3706.0,1055065740.0,28349,100295,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,jd2510,3485.0,3488.0,3489.0,3475.0,302852010.0,8693,50805,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,jd2511,3429.0,3442.0,3447.0,3426.0,164913730.0,4797,12314,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,jd2512,3520.0,3518.0,3524.0,3508.0,43793810.0,1245,10466,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,jd2601,3527.0,3534.0,3539.0,3522.0,77795710.0,2203,25088,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,jd2602,3136.0,3138.0,3139.0,3132.0,19192140.0,612,5616,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,jd2603,3141.0,3141.0,3142.0,3135.0,4926820.0,157,2805,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,jd2604,3260.0,3261.0,3264.0,3260.0,2120390.0,65,920,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,jd2605,3303.0,3301.0,3307.0,3298.0,11356440.0,344,2704,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,jm2506,630.5,657.0,657.0,630.0,154440.0,4,122,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,jm2507,725.0,756.0,759.0,725.0,424572000.0,9567,10414,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,jm2508,720.0,757.0,761.5,720.0,176261340.0,3975,8246,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
